"","season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"1","2015/2016","bundesliga",1,"Friday","14","August","2015","7:30pm","Allianz Arena",NA,NA,NA,"Bayern Munich","Hamburg",5,0,"27 53 69 73 87","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,76.9,23.1,2,2,"18 12","25 35",0,0,NA,NA,10,12,"12","10",23,5,9,1,11,3,3,1,7,0,3,0,0,NA,0,NA,5,0,0,0,0,4,0,22,28,10,14,4,7,3,"victory","Bayern Munich","Hamburg",1,0
"2","2015/2016","bundesliga",1,"Saturday","15","August","2015","2:30pm","Merck-Stadion am Bollenfalltor",NA,NA,NA,"SV Darmstadt 98","Hannover 96",2,2,"31 54","48 62 62",0,1,NA,"59",0,0,NA,NA,0,1,NA,"59",NA,NA,NA,NA,39.9,60.1,1,2,"58","34 79",0,0,NA,NA,21,22,"22","21",11,13,4,5,4,6,3,2,5,9,0,1,1,"62",0,NA,4,1,0,1,1,3,0,43,24,9,10,5,14,1,"draw",NA,NA,NA,NA
"3","2015/2016","bundesliga",1,"Saturday","15","August","2015","2:30pm","SGL Arena",NA,NA,NA,"FC Augsburg","Hertha Berlin",0,1,"NA","48",0,1,NA,"48",0,1,NA,"48",0,0,NA,NA,NA,NA,NA,NA,48.4,51.6,2,3,"78 5","74 54 18",1,1,"66",NA,20,22,"21","20",20,11,3,3,9,7,8,1,7,4,1,1,0,NA,0,NA,1,1,1,0,0,5,2,42,31,6,16,9,11,2,"victory","Hertha Berlin","FC Augsburg",0,1
"4","2015/2016","bundesliga",1,"Saturday","15","August","2015","5:30pm","Signal Iduna Park",NA,NA,NA,"Borussia Dortmund","M'gladbach",4,0,"15 21 33 50","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,59.2,40.8,0,1,NA,"77",0,0,NA,NA,13,14,"13","13",18,5,7,1,8,3,3,1,3,5,6,0,0,NA,0,NA,4,0,0,0,0,1,0,27,23,8,11,4,8,6,"victory","Borussia Dortmund","M'gladbach",1,0
"5","2015/2016","bundesliga",1,"Sunday","16","August","2015","4:30pm","Mercedes-Benz Arena",NA,NA,NA,"Stuttgart","Cologne",1,3,"79","75 77 90+2",1,1,"79","75",1,1,"79","75",0,0,NA,NA,NA,NA,NA,NA,56.7,43.3,3,2,"34 71 67","61 61",0,0,NA,NA,13,8,"8","13",28,9,8,5,9,4,11,0,13,3,4,5,0,NA,0,NA,4,2,2,0,0,5,0,21,37,13,13,11,16,9,"victory","Cologne","Stuttgart",0,1
"6","2015/2016","bundesliga",1,"Saturday","15","August","2015","2:30pm","Coface Arena",NA,NA,NA,"Mainz","FC Ingolstadt 04",0,1,"NA","66",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,57,43,2,3,"39 64","52 88 44",0,0,NA,NA,20,15,"13","19",9,14,3,5,5,8,1,1,6,2,3,5,0,NA,0,NA,1,0,0,0,0,5,0,35,23,8,13,2,8,8,"victory","FC Ingolstadt 04","Mainz",0,1
"7","2015/2016","bundesliga",1,"Saturday","15","August","2015","2:30pm","Weserstadion",NA,NA,NA,"Werder Bremen","Schalke",0,3,"NA","34 68 85",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,58,42,0,2,NA,"77 80",0,0,NA,NA,7,16,"16","7",15,16,2,5,7,7,6,4,5,6,3,3,1,"34",0,NA,3,0,0,0,1,2,0,23,31,7,14,10,11,6,"victory","Schalke","Werder Bremen",0,1
"8","2015/2016","bundesliga",1,"Saturday","15","August","2015","2:30pm","BayArena",NA,NA,NA,"Bayer Leverkusen","Hoffenheim",2,1,"45 71","5",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,57.8,42.2,1,0,"11",NA,0,0,NA,NA,12,18,"17","12",25,6,9,2,11,3,5,1,13,5,2,1,0,NA,0,NA,3,0,0,0,0,1,0,30,31,11,14,6,18,3,"victory","Bayer Leverkusen","Hoffenheim",1,0
"9","2015/2016","bundesliga",1,"Sunday","16","August","2015","2:30pm","Volkswagen Arena",NA,NA,NA,"Wolfsburg","Eintracht Frankfurt",2,1,"13 17","19",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,61.5,38.5,1,1,"45+3","45+3",0,0,NA,NA,14,19,"19","14",5,13,3,6,2,3,0,4,7,3,3,7,0,NA,0,NA,3,0,0,0,0,2,0,33,18,9,5,4,10,10,"victory","Wolfsburg","Eintracht Frankfurt",1,0
"10","2015/2016","bundesliga",2,"Friday","21","August","2015","7:30pm","Olympiastadion",NA,NA,NA,"Hertha Berlin","Werder Bremen",1,1,"6","26",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,51.4,48.6,0,1,NA,"60",0,0,NA,NA,11,16,"16","11",10,10,2,3,4,6,4,1,6,2,1,4,0,NA,0,NA,2,0,0,0,0,1,0,27,20,5,10,5,8,5,"draw",NA,NA,NA,NA
