"","season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"1","2012/2013","premier league",1,"Saturday","18","August","2012","3:00pm","Emirates Stadium",NA,NA,NA,"Arsenal","Sunderland",0,0,"NA","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,70.1,29.9,0,0,NA,NA,0,0,NA,NA,12,9,"8","12",13,3,3,2,10,1,0,0,7,0,2,1,0,NA,0,NA,0,0,0,0,0,0,0,21,16,5,11,0,7,3,"draw",NA,NA,NA,NA
"2","2012/2013","premier league",1,"Saturday","18","August","2012","3:00pm","Kiyan Prince Foundation Stadium",NA,NA,NA,"Queens Park Rangers","Swansea City",0,5,"NA","8 53 63 71 81",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,49.9,50.1,2,2,"58 55","62 41",0,0,NA,NA,12,16,"15","12",12,11,4,6,8,5,0,0,5,3,0,2,0,NA,0,NA,5,0,0,0,0,4,0,28,23,10,13,0,8,2,"victory","Swansea City","Queens Park Rangers",0,1
"3","2012/2013","premier league",1,"Saturday","18","August","2012","3:00pm","The Hawthorns",NA,NA,NA,"West Bromwich Albion","Liverpool",3,0,"43 64 77","NA",2,0,"64 59",NA,1,0,"64",NA,1,0,"59",NA,NA,NA,NA,NA,40.5,59.5,1,4,"75","41 56 45+3 90+3",0,1,"58",NA,11,12,"11","10",12,9,6,2,6,7,0,0,7,3,2,4,0,NA,0,NA,3,2,1,1,0,5,1,23,21,8,13,0,10,6,"victory","West Bromwich Albion","Liverpool",1,0
"4","2012/2013","premier league",1,"Saturday","18","August","2012","5:30pm","St James' Park, Newcastle",NA,NA,NA,"Newcastle United","Tottenham Hotspur",2,1,"54 80","76",1,0,"80",NA,1,0,"80",NA,0,0,NA,NA,NA,NA,NA,NA,51.9,48.1,2,2,"14 45+2","17 19",0,0,NA,NA,13,9,"8","13",5,11,3,4,2,7,0,0,3,5,3,2,0,NA,0,NA,3,1,1,0,0,4,0,22,16,7,9,0,8,5,"victory","Newcastle United","Tottenham Hotspur",1,0
"5","2012/2013","premier league",1,"Sunday","19","August","2012","4:00pm","Etihad Stadium",NA,NA,NA,"Manchester City","Southampton",3,2,"40 72 80","59 68",1,0,"17",NA,0,0,NA,NA,1,0,"17",NA,NA,NA,NA,NA,64.1,35.9,1,2,"82","61 87",0,0,NA,NA,4,7,"7","3",14,5,8,2,6,3,0,0,7,3,2,1,0,NA,0,NA,5,1,0,1,0,3,0,11,19,10,9,0,10,3,"victory","Manchester City","Southampton",1,0
"6","2012/2013","premier league",1,"Saturday","18","August","2012","3:00pm","Craven Cottage",NA,NA,NA,"Fulham","Norwich City",5,0,"26 41 54 66 87","NA",1,0,"87",NA,1,0,"87",NA,0,0,NA,NA,NA,NA,NA,NA,59.8,40.2,0,0,NA,NA,0,0,NA,NA,12,11,"11","12",11,6,9,2,2,4,0,0,6,3,2,1,0,NA,0,NA,5,1,1,0,0,0,0,23,17,11,6,0,9,3,"victory","Fulham","Norwich City",1,0
"7","2012/2013","premier league",1,"Saturday","18","August","2012","3:00pm","The Madejski Stadium",NA,NA,NA,"Reading","Stoke City",1,1,"90","34",1,0,"90",NA,1,0,"90",NA,0,0,NA,NA,NA,NA,NA,NA,52.6,47.4,2,4,"45 73","90+3 90 90+1 19",0,1,"89",NA,11,17,"17","11",8,7,2,3,6,4,0,0,4,3,1,3,0,NA,0,NA,2,1,1,0,0,6,1,28,15,5,10,0,7,4,"draw",NA,NA,NA,NA
"8","2012/2013","premier league",1,"Saturday","18","August","2012","3:00pm","Boleyn Ground",NA,NA,NA,"West Ham United","Aston Villa",1,0,"40","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,34.2,65.8,0,1,NA,"39",0,0,NA,NA,17,9,"9","17",8,13,2,2,4,5,2,6,6,4,0,2,0,NA,0,NA,1,0,0,0,0,1,0,26,21,4,9,8,10,2,"victory","West Ham United","Aston Villa",1,0
"9","2012/2013","premier league",1,"Sunday","19","August","2012","1:30pm","DW Stadium",NA,NA,NA,"Wigan Athletic","Chelsea",0,2,"NA","2 7",0,1,NA,"7",0,1,NA,"7",0,0,NA,NA,NA,NA,NA,NA,52,48,2,2,"11 57","34 73",0,0,NA,NA,17,11,"11","16",14,6,4,4,10,2,0,0,7,1,0,2,0,NA,0,NA,2,1,1,0,0,4,0,28,20,8,12,0,8,2,"victory","Chelsea","Wigan Athletic",0,1
"10","2012/2013","premier league",1,"Monday","20","August","2012","8:00pm","Goodison Park",NA,NA,NA,"Everton","Manchester United",1,0,"57","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,30.8,69.2,1,2,"90","3 13",0,0,NA,NA,13,11,"11","13",16,10,7,4,9,6,0,0,6,8,0,1,0,NA,0,NA,1,0,0,0,0,3,0,24,26,11,15,0,14,1,"victory","Everton","Manchester United",1,0
