"season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"2017-18","serie A",1,NA,"19","08","2017","18:00","Allianz Stadium",NA,"Fabio Maresca",NA,"Juventus","Cagliari",3,0,"12 45+1 66",NA,0,1,NA,"39",0,0,NA,NA,0,1,NA,"39",NA,NA,NA,NA,66,34,1,0,"77",NA,0,0,NA,NA,12,11,NA,NA,12,5,8,2,4,3,2,4,4,1,2,0,0,NA,0,NA,3,1,0,1,0,1,0,23,17,10,7,6,5,2,"victory","Juventus","Cagliari",1,0
"2017-18","serie A",1,NA,"19","08","2017","20:45","Marcantonio Bentegodi",NA,"Michael Fabbri",NA,"Hellas Verona","Napoli",1,3,"83","32 39 62",1,0,"83",NA,1,0,"83",NA,0,0,NA,NA,NA,NA,NA,NA,48,52,2,2,"74, 90+1","52, 90+2",0,1,"82",NA,6,9,NA,NA,12,20,4,12,8,8,9,3,3,6,4,1,0,NA,1,"32",4,1,1,0,1,4,1,15,32,16,16,12,9,5,"victory","Napoli","Hellas Verona",0,1
"2017-18","serie A",1,NA,"20","08","2017","18:00","Gewiss Stadium",NA,"Piero Giacomelli",NA,"Atalanta","Roma",0,1,NA,"31",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,58,42,1,2,"69","55, 90",0,0,NA,NA,13,16,NA,NA,16,4,11,1,5,3,0,6,4,1,7,1,0,NA,0,NA,1,0,0,0,0,3,0,29,20,12,8,6,5,8,"victory","Roma","Atalanta",0,1
"2017-18","serie A",1,NA,"20","08","2017","20:45","Renato Dall'ara",NA,"Davide Massa",NA,"Bologna","Torino",1,1,"27","33",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,39,61,2,1,"48, 60","90+3",0,0,NA,NA,19,9,NA,NA,10,7,5,4,5,3,3,2,0,8,2,5,0,NA,0,NA,2,0,0,0,0,3,0,28,17,9,8,5,8,7,"draw",NA,NA,NA,NA
"2017-18","serie A",1,NA,"20","08","2017","20:45","Ezio Scida",NA,"Maurizio Mariani",NA,"Crotone","Milan",0,3,NA,"6 18 23",0,1,NA,"6",0,1,NA,"6",0,0,NA,NA,NA,NA,NA,NA,25,75,1,3,"90","9, 59, 69",1,0,NA,NA,8,13,NA,NA,6,16,3,10,3,6,7,3,2,9,4,3,0,NA,0,NA,3,1,1,0,0,4,1,21,22,13,9,10,11,7,"victory","Milan","Crotone",0,1
"2017-18","serie A",1,NA,"20","08","2017","20:45","Giuseppe Meazza",NA,"Paolo Tagliavento",NA,"Inter","Fiorentina",3,0,"6 15 79",NA,1,0,"6",NA,1,0,"6",NA,0,0,NA,NA,NA,NA,NA,NA,49,51,0,1,NA,"14",0,0,NA,NA,7,13,NA,NA,11,11,7,4,4,7,3,4,9,7,1,1,0,NA,0,NA,3,1,1,0,0,1,0,20,22,11,11,7,16,2,"victory","Inter","Fiorentina",1,0
"2017-18","serie A",1,NA,"20","08","2017","20:45","Olimpico",NA,"Rosario Abisso",NA,"Lazio","Spal",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,57,43,2,2,"28, 51","75, 90",0,0,NA,NA,19,4,NA,NA,21,8,13,5,8,3,2,12,9,5,2,1,0,NA,0,NA,0,0,0,0,0,4,0,23,29,18,11,14,14,3,"draw",NA,NA,NA,NA
"2017-18","serie A",1,NA,"20","08","2017","20:45","Luigi Ferraris",NA,"Fabrizio Pasqua",NA,"Sampdoria","Benevento",2,1,"38 54","15",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,67,33,1,2,"45","49, 90+5",0,0,NA,NA,10,11,NA,NA,11,14,8,7,3,7,6,5,6,7,2,3,0,NA,0,NA,3,0,0,0,0,3,0,21,25,15,10,11,13,5,"victory","Sampdoria","Benevento",1,0
"2017-18","serie A",1,NA,"20","08","2017","20:45","Mapei Stadium",NA,"Antonio Damato",NA,"Sassuolo","Genoa",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,51,49,2,3,"55, 61","26, 45+1, 63",0,0,NA,NA,15,25,NA,NA,11,12,3,7,8,5,6,3,2,5,0,1,0,NA,0,NA,0,0,0,0,0,5,0,40,23,10,13,9,7,1,"draw",NA,NA,NA,NA
"2017-18","serie A",1,NA,"20","08","2017","20:45","Dacia Arena",NA,"Claudio Gavillucci",NA,"Udinese","Chievoverona",1,2,"37","15 54",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,59,41,2,2,"64, 71","82, 90+2",0,0,NA,NA,12,9,NA,NA,14,10,6,4,8,6,2,5,5,4,1,2,0,NA,0,NA,3,0,0,0,0,4,0,21,24,10,14,7,9,3,"victory","Chievoverona","Udinese",0,1
