"","season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"1","2013/2014","bundesliga",1,"Friday","9","August","2013","7:30pm","Allianz Arena",NA,NA,NA,"Bayern Munich","M'gladbach",3,1,"12 16 69","40",2,0,"69 66",NA,1,0,"69",NA,1,0,"66",NA,NA,NA,NA,NA,58.8,41.2,1,3,"83","53 67 41",0,0,NA,NA,12,11,"9","11",15,7,9,4,6,3,0,0,6,4,3,3,1,"40",0,NA,4,2,1,1,1,4,0,23,22,13,9,0,10,6,"victory","Bayern Munich","M'gladbach",1,0
"2","2013/2014","bundesliga",1,"Saturday","10","August","2013","2:30pm","AWD-Arena",NA,NA,NA,"Hannover 96","Wolfsburg",2,0,"17 84","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,50.5,49.5,4,1,"54 45 37 34","13",0,2,"52 32",NA,28,11,"11","27",16,11,8,5,8,6,0,0,7,2,1,4,0,NA,0,NA,2,0,0,0,0,5,2,39,27,13,14,0,9,5,"victory","Hannover 96","Wolfsburg",1,0
"3","2013/2014","bundesliga",1,"Saturday","10","August","2013","2:30pm","Impuls Arena",NA,NA,NA,"FC Augsburg","Borussia Dortmund",0,4,"NA","24 66 79 86",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,43.1,56.9,2,0,"52 83",NA,0,0,NA,NA,18,12,"12","18",9,12,4,9,5,3,0,0,5,6,0,2,0,NA,0,NA,4,0,0,0,0,2,0,30,21,13,8,0,11,2,"victory","Borussia Dortmund","FC Augsburg",0,1
"4","2013/2014","bundesliga",1,"Saturday","10","August","2013","5:30pm",NA,NA,NA,NA,"Eintracht Braunschweig","Werder Bremen",0,1,"NA","81",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,46.2,53.8,1,0,"76",NA,0,0,NA,NA,11,17,"17","10",9,10,3,4,6,6,0,0,2,7,4,1,0,NA,0,NA,1,0,0,0,0,1,0,28,19,7,12,0,9,5,"victory","Werder Bremen","Eintracht Braunschweig",0,1
"5","2013/2014","bundesliga",1,"Sunday","11","August","2013","4:30pm","Veltins Arena",NA,NA,NA,"Schalke","Hamburg",3,3,"2 45+2 72","12 24 49",0,1,NA,"12",0,1,NA,"12",0,0,NA,NA,NA,NA,NA,NA,57.7,42.3,1,2,"45","4 36",0,0,NA,NA,15,11,"10","12",14,8,8,6,6,2,0,0,3,7,0,4,1,"24",0,NA,6,1,1,0,1,3,0,26,22,14,8,0,10,4,"draw",NA,NA,NA,NA
"6","2013/2014","bundesliga",1,"Saturday","10","August","2013","2:30pm","BayArena Staduim",NA,NA,NA,"Bayer Leverkusen","SC Freiburg",3,1,"22 46 52","40",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,45.7,54.3,2,2,"88 83","35 55",0,0,NA,NA,10,15,"15","10",15,5,6,3,9,2,0,0,5,2,2,3,0,NA,0,NA,4,0,0,0,0,4,0,25,20,9,11,0,7,5,"victory","Bayer Leverkusen","SC Freiburg",1,0
"7","2013/2014","bundesliga",1,"Saturday","10","August","2013","2:30pm","Rhein-Neckar Arena",NA,NA,NA,"Hoffenheim","FC Nurnberg",2,2,"34 51","54 57",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,52.7,47.3,1,4,"80","69 30 60 74",0,0,NA,NA,17,16,"16","17",22,11,8,5,14,6,0,0,6,9,5,4,0,NA,0,NA,4,0,0,0,0,5,0,33,33,13,20,0,15,9,"draw",NA,NA,NA,NA
"8","2013/2014","bundesliga",1,"Saturday","10","August","2013","2:30pm","Olympiastadion",NA,NA,NA,"Hertha Berlin","Eintracht Frankfurt",6,1,"17 71 32 58 60 89","37",0,1,NA,"37",0,1,NA,"37",0,0,NA,NA,NA,NA,NA,NA,40.5,59.5,0,1,NA,"24",0,0,NA,NA,19,18,"18","17",15,10,9,4,6,6,0,0,5,4,3,2,0,NA,0,NA,7,1,1,0,0,1,0,37,25,13,12,0,9,5,"victory","Hertha Berlin","Eintracht Frankfurt",1,0
"9","2013/2014","bundesliga",1,"Sunday","11","August","2013","2:30pm",NA,NA,NA,NA,"Mainz","Stuttgart",3,2,"14 78 65","16 82",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,48.1,51.9,1,4,"62","37 46 85 51",0,0,NA,NA,15,13,"13","14",8,15,7,11,1,4,0,0,2,8,7,1,0,NA,0,NA,5,0,0,0,0,5,0,28,23,18,5,0,10,8,"victory","Mainz","Stuttgart",1,0
"10","2013/2014","bundesliga",2,"Saturday","17","August","2013","2:30pm","Mercedes-Benz Arena",NA,NA,NA,"Stuttgart","Bayer Leverkusen",0,1,"NA","42",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,57.1,42.9,3,1,"11 83 84","86",0,0,NA,NA,13,15,"15","13",13,11,3,3,10,8,0,0,10,3,3,1,1,"42",0,NA,1,0,0,0,1,4,0,28,24,6,18,0,13,4,"victory","Bayer Leverkusen","Stuttgart",0,1
"11","2013/2014","bundesliga",2,"Saturday","17","August","2013","2:30pm","Weserstadion",NA,NA,NA,"Werder Bremen","FC Augsburg",1,0,"22","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,40.3,59.7,3,4,"41 28 50","42 58 77 89",0,0,NA,NA,17,15,"15","16",4,15,2,4,2,11,0,0,3,7,4,5,0,NA,0,NA,1,0,0,0,0,7,0,32,19,6,13,0,10,9,"victory","Werder Bremen","FC Augsburg",1,0
"12","2013/2014","bundesliga",2,"Saturday","17","August","2013","2:30pm","AOL-Arena",NA,NA,NA,"Hamburg","Hoffenheim",1,5,"44","5 77 50 67 74",1,0,"44",NA,1,0,"44",NA,0,0,NA,NA,NA,NA,NA,NA,57.9,42.1,2,2,"70 72","69 43",0,0,NA,NA,15,22,"21","14",7,11,4,7,3,4,0,0,2,4,1,1,0,NA,0,NA,6,1,1,0,0,4,0,37,18,11,7,0,6,2,"victory","Hoffenheim","Hamburg",0,1
"13","2013/2014","bundesliga",2,"Saturday","17","August","2013","5:30pm","Borussia-Park",NA,NA,NA,"M'gladbach","Hannover 96",3,0,"20 53 66","NA",1,0,"66",NA,1,0,"66",NA,0,0,NA,NA,NA,NA,NA,NA,59.6,40.4,1,4,"60","65 90 68 45",0,0,NA,NA,10,19,"18","10",14,12,8,4,6,8,0,0,1,3,2,3,0,NA,0,NA,3,1,1,0,0,5,0,29,26,12,14,0,4,5,"victory","M'gladbach","Hannover 96",1,0
"14","2013/2014","bundesliga",2,"Sunday","18","August","2013","4:30pm","Signal Iduna Park",NA,NA,NA,"Borussia Dortmund","Eintracht Braunschweig",2,1,"75 86","89",1,0,"86",NA,1,0,"86",NA,0,0,NA,NA,NA,NA,NA,NA,70.8,29.2,0,1,NA,"60",0,0,NA,NA,8,12,"12","8",17,6,6,3,11,3,0,0,4,3,2,1,0,NA,0,NA,3,1,1,0,0,1,0,20,23,9,14,0,7,3,"victory","Borussia Dortmund","Eintracht Braunschweig",1,0
"15","2013/2014","bundesliga",2,"Saturday","17","August","2013","2:30pm","Volkswagen Arena",NA,NA,NA,"Wolfsburg","Schalke",4,0,"55 61 67 90","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,51.5,48.5,0,2,NA,"49 37",0,0,NA,NA,18,16,"16","18",17,5,10,2,7,3,0,0,11,3,3,2,0,NA,0,NA,4,0,0,0,0,2,0,34,22,12,10,0,14,5,"victory","Wolfsburg","Schalke",1,0
"16","2013/2014","bundesliga",2,"Saturday","17","August","2013","2:30pm","Dreisamstadion",NA,NA,NA,"SC Freiburg","Mainz",1,2,"71","64 68",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,58.5,41.5,0,3,NA,"87 74 42",0,0,NA,NA,17,7,"7","16",6,11,3,8,3,3,0,0,2,4,1,4,0,NA,0,NA,3,0,0,0,0,3,0,24,17,11,6,0,6,5,"victory","Mainz","SC Freiburg",0,1
