"season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"2005/2006","serie A",1,NA,"27","08","2005","18:00","Armando Picchi",NA,"Gianluca Rocchi",NA,"Livorno","Lecce",2,1,"12 48","39",0,1,NA,"39",0,1,NA,"39",0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,"23, 38","67, 83, 90+1",0,0,NA,NA,26,20,NA,NA,14,9,7,5,7,4,4,4,8,2,2,2,0,NA,0,NA,3,1,1,0,0,5,0,46,23,12,11,8,10,4,"victory","Livorno","Lecce",1,0
"2005/2006","serie A",1,NA,"27","08","2005","20:30","Artemio Franchi",NA,"Gianluca Paparesta",NA,"Fiorentina","Sampdoria",2,1,"12 30","74",1,0,"30",NA,1,0,"30",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,4,"25","15, 29, 38, 42",0,0,NA,NA,19,21,NA,NA,11,5,8,2,3,3,1,6,11,3,3,0,0,NA,0,NA,3,1,1,0,0,5,0,40,16,10,6,7,14,3,"victory","Fiorentina","Sampdoria",1,0
"2005/2006","serie A",1,NA,"28","08","2005","15:00","Cino E Lillo Del Duca",NA,"Massimo De Santis",NA,"Ascoli","Milan",1,1,"58","64",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"44, 90+4","21",0,0,NA,NA,11,16,NA,NA,8,19,4,13,4,6,12,3,0,3,1,2,0,NA,0,NA,2,0,0,0,0,3,0,27,27,17,10,15,3,3,"draw",NA,NA,NA,NA
"2005/2006","serie A",1,NA,"28","08","2005","15:00","Giuseppe Meazza",NA,"Paolo Tagliavento",NA,"Inter","Treviso",3,0,"32 68 79",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"40","23, 70, 90+2",0,0,NA,NA,11,20,NA,NA,15,7,9,3,6,4,3,6,7,0,5,0,0,NA,0,NA,3,0,0,0,0,4,0,31,22,12,10,9,7,5,"victory","Inter","Treviso",1,0
"2005/2006","serie A",1,NA,"28","08","2005","15:00","Olimpico",NA,"Paolo Dondarini",NA,"Lazio","Messina",1,0,"21",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"43, 69, 90","28",0,0,NA,NA,14,22,NA,NA,7,16,5,7,2,9,7,4,6,10,3,1,0,NA,0,NA,1,0,0,0,0,4,0,36,23,12,11,11,16,4,"victory","Lazio","Messina",1,0
"2005/2006","serie A",1,NA,"28","08","2005","15:00","Ennio Tardini",NA,"Tiziano Pieri",NA,"Parma","Palermo",1,1,"48","37",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,0,"7, 35, 36",NA,0,0,NA,NA,20,10,NA,NA,6,14,2,9,4,5,7,1,3,7,4,1,0,NA,0,NA,2,0,0,0,0,3,0,30,20,11,9,8,10,5,"draw",NA,NA,NA,NA
"2005/2006","serie A",1,NA,"28","08","2005","15:00","Oreste Granillo",NA,"Roberto Rosetti",NA,"Reggina","Roma",0,3,NA,"30 46 90+3",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,3,0,0,0,0,0,1,0,0,0,0,0,0,0,"victory","Roma","Reggina",0,1
"2005/2006","serie A",1,NA,"28","08","2005","15:00","Artemio Franchi",NA,"Christian Brighi",NA,"Robur Siena","Cagliari",2,1,"45 56","9",1,0,"45",NA,1,0,"45",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,3,1,1,0,0,0,1,0,0,0,0,0,0,0,"victory","Robur Siena","Cagliari",1,0
"2005/2006","serie A",1,NA,"28","08","2005","15:00","Dacia Arena",NA,"Andrea De Marco",NA,"Udinese","Empoli",1,0,"30",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"43, 77","51",0,0,NA,NA,20,12,NA,NA,12,8,8,4,4,4,4,7,6,5,2,4,0,NA,0,NA,1,0,0,0,0,3,0,32,20,12,8,11,11,6,"victory","Udinese","Empoli",1,0
"2005/2006","serie A",1,NA,"28","08","2005","20:30","Delle Alpi",NA,"Matteo Simone Trefoloni",NA,"Juventus","Chievoverona",1,0,"36",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"13","51, 68",0,0,NA,NA,21,13,NA,NA,15,1,7,0,8,1,0,6,6,2,8,11,0,NA,0,NA,1,0,0,0,0,3,0,34,16,7,9,6,8,19,"victory","Juventus","Chievoverona",1,0
