"season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_ownGoals","away_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_fair","team_win_home","team_win_away"
"2021_2022","Seria A",1,NA,"21","08","2021","18:30","Marcantonio Bentegodi",NA,"Manuel Volpi",NA,"Hellas Verona","Sassuolo",2,3,"71 90","32 51 77",1,0,"71",NA,1,0,"71",NA,0,0,NA,NA,0,0,NA,NA,46,54,2,2,"35, 75","23, 79",0,0,NA,NA,11,12,"13","12",12,15,4,8,7,6,5,2,7,4,0,1,5,1,1,0,0,4,0,23,27,12,13,7,11,1,"victory","Sassuolo","Hellas Verona",NA,0,1
"2021_2022","Seria A",1,NA,"21","08","2021","18:30","Giuseppe Meazza",NA,"Valerio Marini",NA,"Inter","Genoa",4,0,"6 14 74 87",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,64,36,1,2,"78","2, 66",0,0,NA,NA,18,7,"6","18",16,11,8,5,4,4,4,4,8,2,2,2,4,0,0,0,0,3,0,25,27,13,8,8,10,4,"victory","Inter","Genoa",NA,1,0
"2021_2022","Seria A",1,NA,"21","08","2021","20:45","Carlo Castellani",NA,"Simone Sozza",NA,"Empoli","Lazio",1,3,"4","6 31 41",0,1,NA,"41",0,1,NA,"41",0,0,NA,NA,0,0,NA,NA,42,58,2,1,"38, 89","29",0,0,NA,NA,13,10,"8","13",16,8,5,5,7,2,2,3,5,3,2,0,4,1,1,0,0,3,0,23,24,10,9,5,8,2,"victory","Lazio","Empoli",NA,0,1
"2021_2022","Seria A",1,NA,"21","08","2021","20:45","Olimpico Grande Torino",NA,"Daniele Chiffi",NA,"Torino","Atalanta",1,2,"79","6 90+3",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,55,45,2,2,"52, 72","23, 81",0,0,NA,NA,17,13,"13","17",19,6,8,2,5,1,0,7,5,1,0,0,3,0,0,0,0,4,0,30,25,10,6,7,6,0,"victory","Atalanta","Torino",NA,0,1
"2021_2022","Seria A",1,NA,"22","08","2021","18:30","Renato Dall'ara",NA,"Antonio Rapuano",NA,"Bologna","Salernitana",3,2,"59 75 77","52 70",0,1,NA,"52",0,1,NA,"52",0,0,NA,NA,0,0,NA,NA,69,31,4,2,"41, 55, 87, 90+3","33, 79",0,0,NA,NA,13,15,"13","13",18,8,7,4,4,2,2,4,9,4,0,2,5,1,1,0,0,6,0,28,26,11,6,6,13,2,"victory","Bologna","Salernitana",NA,1,0
"2021_2022","Seria A",1,NA,"22","08","2021","18:30","Dacia Arena",NA,"Ivano Pezzuto",NA,"Udinese","Juventus",2,2,"51 83","3 23",1,0,"51",NA,1,0,"51",NA,0,0,NA,NA,0,0,NA,NA,49,51,1,3,"76","50, 88, 90+5",0,0,NA,NA,13,14,"14","13",11,10,6,3,3,7,1,4,3,3,2,3,4,1,1,0,0,4,0,27,21,9,10,5,6,5,"draw",NA,NA,NA,NA,NA
"2021_2022","Seria A",1,NA,"22","08","2021","20:45","Diego Armando Maradona",NA,"Gianluca Aureliano",NA,"Napoli","Venezia",2,0,"62 73",NA,2,0,"62 57",NA,1,0,"62",NA,1,0,"57",NA,0,0,NA,NA,54,46,1,7,"52","12, 30, 38, 45+1, 50, 61, 75",1,0,NA,NA,5,22,"20","3",13,8,4,4,5,4,4,2,2,2,3,1,2,2,1,1,0,8,1,27,21,8,9,6,4,4,"victory","Napoli","Venezia",NA,1,0
"2021_2022","Seria A",1,NA,"22","08","2021","20:45","Olimpico",NA,"Luca Pairetto",NA,"Roma","Fiorentina",3,1,"26 64 79","60",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,44,56,2,2,"13, 44","45+3, 53",0,1,"17",NA,12,14,"13","12",11,11,6,8,5,2,7,3,4,4,5,2,4,0,0,0,0,4,1,26,22,14,7,10,8,7,"victory","Roma","Fiorentina",NA,1,0
"2021_2022","Seria A",1,NA,"23","08","2021","18:30","Unipol Domus",NA,"Francesco Fourneau",NA,"Cagliari","Spezia",2,2,"62 66","7 58",1,0,"66",NA,1,0,"66",NA,0,0,NA,NA,0,0,NA,NA,62,38,2,3,"79, 82","14, 45+2, 68",0,0,NA,NA,17,17,"16","15",16,13,10,6,5,4,4,6,11,4,1,4,4,1,1,0,0,5,0,34,29,16,9,10,15,5,"draw",NA,NA,NA,NA,NA
"2021_2022","Seria A",1,NA,"23","08","2021","20:45","Luigi Ferraris",NA,"Marco Guida",NA,"Sampdoria","Milan",0,1,NA,"9",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,47,53,3,1,"33, 89, 90+3","86",0,0,NA,NA,16,14,"13","15",11,10,3,4,4,4,3,3,8,3,3,3,1,0,0,0,0,4,0,30,21,7,8,6,11,6,"victory","Milan","Sampdoria",NA,0,1
